feature,importance,fold
hist_month_diff_mean,2.9056555801380752,1
hist_month_diff_mean,2.863700040682599,5
hist_month_diff_mean,2.8504797331739704,2
hist_month_diff_mean,2.841255496902571,3
hist_month_diff_mean,2.8377564113886775,4
hist_category_1_mean,2.806350995742932,1
hist_month_nunique,2.799479334395476,4
hist_month_diff_min,2.7979089405795046,3
hist_month_nunique,2.7938482286263495,5
hist_month_nunique,2.792639412660861,2
hist_category_1_mean,2.7917754219104287,4
hist_category_1_mean,2.7899578702584082,3
hist_month_diff_max,2.787082224627076,4
hist_category_1_mean,2.7859430302269597,2
hist_month_diff_max,2.7838897026208267,2
hist_month_nunique,2.7817300393607503,1
hist_month_nunique,2.7775134027760666,3
hist_month_diff_max,2.772302869787753,5
hist_category_1_mean,2.7704008275365135,5
new_month_lag_mean,2.7532900646024467,5
new_month_lag_mean,2.749011586399113,4
new_month_lag_mean,2.7459322262898826,1
new_month_lag_mean,2.741464167387554,3
new_month_lag_mean,2.7240258654005753,2
category_1_mean,2.6978952699712844,2
purchase_amount_ratio,2.6920606935201112,5
new_CLV,2.6918983207756355,1
new_CLV,2.6917337016122294,5
hist_month_diff_min,2.691450100112357,1
category_1_mean,2.690571489840051,5
purchase_amount_ratio,2.686211012590806,3
hist_category_3_1_sum,2.685365566672839,3
purchase_amount_ratio,2.6838842756094943,4
purchase_amount_ratio,2.6816320453485356,1
hist_category_3_1_sum,2.677339521589819,4
hist_category_3_1_sum,2.676741776493137,5
hist_authorized_flag_mean,2.6764021293659503,5
hist_month_diff_min,2.6763782589367353,2
hist_category_3_1_sum,2.6762665967597403,1
hist_category_3_1_sum,2.669921823353825,2
category_1_mean,2.6670189727025466,3
purchase_amount_ratio,2.666468713145612,2
new_purchase_date_uptonow,2.6652218164116546,3
new_CLV,2.6637272356477792,2
category_1_mean,2.6588958927732724,4
hist_authorized_flag_mean,2.658132704629822,1
new_purchase_date_uptonow,2.6561299992793566,1
new_CLV,2.6539913557391865,3
hist_month_diff_min,2.6537892430429073,5
category_1_mean,2.6531456200179937,1
hist_authorized_flag_mean,2.647427622924378,4
new_purchase_date_uptonow,2.646981352345451,2
hist_month_diff_max,2.6463648008394456,1
hist_weekofyear_nunique,2.645210642110853,2
hist_authorized_flag_mean,2.643790132676164,2
new_purchase_date_uptonow,2.6434542095504883,4
new_CLV,2.6407095911336183,4
hist_weekofyear_nunique,2.6395666507065707,3
hist_month_diff_min,2.6351201519657868,4
hist_month_diff_max,2.630668518909469,3
hist_authorized_flag_mean,2.6300380236093788,3
new_purchase_date_diff,2.6238913826362142,3
hist_weekofyear_nunique,2.617351741448303,5
new_purchase_date_diff,2.6157690723540283,1
new_purchase_date_diff,2.615512848508543,4
new_day_mean,2.613814596537315,2
hist_weekofyear_nunique,2.6126035837992467,1
new_purchase_date_uptonow,2.6110595265494387,5
hist_purchase_date_diff,2.6040047130969315,1
hist_weekofyear_nunique,2.603868263320421,4
hist_purchase_date_diff,2.6016293570827336,2
new_purchase_date_uptomin,2.599032426365084,3
new_day_mean,2.5956640615598214,3
new_purchase_date_diff,2.5856326286694378,5
new_purchase_amount_sum,2.5819011154825002,2
new_purchase_date_uptomin,2.580073097767368,2
hist_purchase_date_diff,2.5795099908738286,3
new_purchase_date_diff,2.57703691932596,2
hist_purchase_date_diff,2.5760891489931774,4
new_day_mean,2.575599867153672,5
new_day_mean,2.5747205774969952,1
hist_purchase_date_uptonow,2.5744636206835,1
hist_purchase_date_diff,2.5719928563311987,5
new_day_mean,2.5669907084210815,4
hist_purchase_date_uptonow,2.5609369415257444,2
new_purchase_amount_sum,2.560866873817106,3
hist_purchase_date_uptonow,2.552767984749517,5
new_weekofyear_mean,2.5496183424599033,2
new_category_1_mean,2.548261210768919,4
new_weekofyear_mean,2.5476614556489214,3
hist_purchase_date_uptonow,2.544494997503234,3
new_purchase_amount_sum,2.541255442483941,5
new_purchase_amount_max,2.5404573275639657,2
new_purchase_date_uptomin,2.5389479423143806,4
new_weekofyear_mean,2.5352336548989056,1
new_purchase_amount_sum,2.5339199684997284,1
new_weekofyear_max,2.5254323192215673,2
new_purchase_amount_sum,2.5236250553029462,4
new_weekofyear_mean,2.521637937359183,5
new_weekofyear_mean,2.51835476860575,4
new_category_1_mean,2.5154979465441865,5
new_purchase_amount_max,2.5153218437891076,5
hist_purchase_date_uptonow,2.5113728319155917,4
hist_price_min,2.5099774120552096,1
new_weekofyear_max,2.5095900344864615,1
new_purchase_date_average,2.5076208842386025,5
new_purchase_amount_max,2.506961906243845,4
new_purchase_date_uptomin,2.5039724325311377,5
new_category_1_mean,2.503534758767125,2
